score,review,y
1,"돈이 너무 많아서 주체가 안 되면 가세요....고기에서 반지하 물 냄새, 닭냄새가 섞인 냄새가 남 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 먹는데 비위가 상해......소스도 전혀 안 배어있음. 치즈사리는 2인 4천원/ 3인 5천원/ 4인 6천원 이런 식으로 받아먹음 ㅎ",0
1,"다른데 1인분이 여기 2인분임 ㅋㅋ가격도 비싸고 알바생들 노느라 서비스 엉망임.제대로 조율해주는 매니저도 없고 닭갈비 나오는데 23분, 볶음밥 하나 하는데 15분씩 기다려야함.주문했는데 알바생들끼리 준비안하고 떠들고있어서 밥 볶아달라니까 재료준비중이라고만 반복함.김치 날치알 밥 김가루가 15분이나 준비해야하는 재료였는지 몰랐네주방에 일하는분들 다 마스크도 안쓰고 계시고..다시는 안감",0
1,옛날에 장인닭갈비 정말 맛있었는데ㅠ 이제는 닭도 덜 익은데다가 양념도 너무 과하게 달고 치즈추가도 했음에도 불구하고 너무 적게 줍니다…닭이 덜 익어서 그런지 비린내가 너무 심합니다..초심 되찾아주세요;;,0
1,초심잃었습니다..제가알던 장인은 어디가고 아마추어 닭갈비가 되어버린 안타까운 식사였습니다.다른 닭갈비집 가세요이만,0
4,가격대비 양이 많지는 않음. 친구가 가운데 치즈 때문에 가자고 했는데 괜찮았다. 막 특색이 있다는 아닌데 볶음밥이 맛있다. 기름에 볶아진 느낌이 아닌데 약간 달달하니 손이 계속 갔다. 무슨 봉봉인지 뭐시기 음료 절대 비추,1
3,,0
4,,1
5,여자친구와 치즈 닭갈비를 잘 먹었어요. 넘 배불러서 볶음밥까진 못 먹었어요 ㅋㅋ,1
4,"닭갈비만 먹었을 땐 3점이었는데, 볶음밥까지 먹고 4점 드립니다. 볶음밥 꼭 드세요! 중간맛으로 먹었는데 적당히 매콤하고 치즈에 양파랑 같이 먹으니 괜찮았습니다. 순한맛으로 먹었으면 좀 많이 싱거웠을 것 같아요. 엄청 뛰어난 맛과 서비스를 기대하긴 힘들겠지만.. 위치 좋고, 비주얼 좋고, 적당히 호불호 안 갈리게 한 끼 먹기 괜찮습니다.",1
3,맛있게 먹긴했으나... 단맛이 너무 강해서 별5개는아니라고 보임,0
5,맛있는데 단맛이 좀 강함,1
4,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.,1
4,생각보다 맛있었어요 양도 적당.볶음밥 굿,1
4,,1
5,가성비 진짜 최고~ 닭갈비에 무조건 치즈사리 추가!!마지막 볶음밥까지~ 한끼식사로 충분해요~,1
1,"평일 오후타임 일하는 여자알바분 개념은 밥 말아먹으셨나봐요? 앉을 자리 보고 qr체크인 한다고 말했더니 짝다리 짚고 서서 노려보면서 qr찍으라고 소리치고, 벨누르는데 직원끼리 모여앉아서 노느라 보는 시늉도 안하고, 영수증에 금액 두배로 찍혀있어서 말했더니 사과한마디도 안하고. 가본 식당중에 단연 서비스 최악이었습니다. 장사할거면 직원교육부터 똑바로 시키시길. 다신안갑니다^^",0
3,,0
5,여기는 무조건 치즈 추가 필수 줄여서 치추필 기억하세요 치추필 뭐라고요 치추필,1
5,치즈닭갈비 너무맛있어요 ㅠㅠ 깔끔하고 좋아요,1
5,동네에 체인점 있었을 때 맛있어서 많이 갔었는데~~! 지금은 없어졌지만 강남 들른김에 생각나서 방문했네요. 여전히 맛은 그대로 입니다,1
5,양 많고 맛있네요~!,1
5,닭갈비 양도 많고 맛있어요!,1
5,여긴 치즈추가 필수에요 ㅜㅜ 매콤한 닭갈비에 싸악 싸먹으면…. 가성비도 넘 좋아용 추천!!,1
5,정말 맛있어요..   가성비최고,1
1,난생 처음 보는 비상식적인 응대에 감탄하고 갑니다. 직원분이 하시는 말 못 들은 상황이었는데 저희가 귀머거리도 아니고 무슨 조롱하듯 대여섯번을 앞에서 QR체크 하셔야해요 하면서 소리지르시더라고요. 와중에 옆에서 다른 직원분은 말리지도 않고 웃고 계시고요. 매장에 1분있었음에도 전반적인 서비스가 얼마나 형편없는 지 알 수 있었습니다. 왜 알바를 안 바꾸시는 의문이 들 정도였습니다. 여러 후기를 보니 알바생에 대한 평이 안 좋던데 알바생을 교체하시는 게 가게 운영에 나을 듯 싶네요.,0
1,"아니 알바생인지 매니저인지 모르겠는데 자리를 옮겼다고 말도 안하고 저희가 옮긴것도 아니고 양해를 구하고 옮겼고. 즐겁게 먹고 계산을 하고 나가려던 와중. ""아, 거기 멈춰봐요. 일로와서 다시 계산하세요."" 이러면서 명령하듯이 화가난 말투로 말씀하셨는데 본인들이 빌지 처리를 잘못하셔서 계산하셨으면서 정중히 사과를 해도 전혀 이상한 상황이 아닌데 오히려 저희한테 화를 내시더라구요? 얼굴로 싫은티 팍팍내고 진짜 대놓고 한소리 하려다가 그상황에 너무 당황해서 아무말 못하고 나왔어요. 아직까지도 저희가 무슨 잘못을 했는지 모르겠구요. 기분좋게 먹었는데 이딴 서비스 받고 다신 안가고싶네요.",0
4,,1
3,양념이 너무 달다. 그래도 배는 부름,0
1,알바생들이 교육이 잘안된건지 융통성이 없던건지ㅋㅋㅋㅋㅋ 볶음밥시켰는데 불이 계속 안켜졌는데 안켜지면 가스통을 바꾸던가 다른곳에서 볶아와야하는거아님? 근데 또 안되네 이러면서 우물쭈물하다가 밥만 비비고 가서 볶음밥이 아니라 비빔밥먹음ㅋ,0
1,"먹다 수세미? 조각 나와서 사장 나와라고 하고 싶었지만, 용기가 없어서 그냥 나옴가지 마세요.",0
4,배불러요,1
1,"옛전에는 이러지 않았는데 아쉽네요.닭갈비랑 볶음밥 양이 엄청 작아졌고, 명동점은 닭갈비에 소스가 남아있지않으면 소스 조금 더 가져와서 간이 맞게 볶아주고 닭 남았으면 닭도 같이 볶아줍니다. 대체 직원교육을 어떻게 시켰는지 사장님 마인드가 다 보여요. 닭갈비랑 토핑 추가 주문하려는데 ""닭갈비 는 2인분 부터 주문 가능하세요."" 하더니 그냥 가버리고 토핑은 추가된다했다가 안된다했다가. 게다가 쌈으로 먹을때는 몰랐는데 닭에서 냄새나요. 상추에서도 돌씹었구요. 처음 온거 아닌데 사람도 많더만 관리를 왜 안하시는지 모르겠네요. 어제 저녁부터 배가아프더니 어제 여기서 점심을 먹은것 때문인가 싶네요.",0
1,진심으로 돈 아까웠던곳 양도 너무 적고중간맛은 밍밍 볶음밥 시키고 나서거의 다 남겼습니다 고추장에 설탕 왕창부은맛이구요 진짜로 리뷰 거의 안쓰는데 너무한거같습니다….,0
5,사장님들 친절한 서비스 감사합니다!,1
3,맛있는지는 모르겠어요. 후각 좋은 사람들은 닭 잡내 맡을 수 있어요. 특별히 반찬도 없고 아무것도 없고 닭갈비만 나오는데 양이 많은것도 아니예요. 근데 가격은 일반 닭갈비집에 비해 비쌈.,0
2,"비주얼에 비해 맛은? 음...1. 드럼스틱살, 양배추, 떡, 조미료 가득한 양념으로만 맛을 내서그런지 3개 정도 먹다보면 질림.2. 당면이 다 불어서 나옴. 어제 만들어놓은 음식 먹는 느낌.3. 오랜만에 닭이다싶어 젓가락으로 집으면 양배추임.4. 중간맛은 안 매운맛임. 총평) 마늘, 양파 등을 추가하여 재료를 조금 더 풍성하게 할 필요가 있어 보임. 그렇다고 닭양이 줄어들면 안됨. 면이 불지 않게 하는 방안도 중요. 왜 미리 만들어져서 나오는 지 이해 안됨. 이러다가 망할 거 같음. 재방문 의사는 없음.",0
5,저번에 맛있어서 또 방문했는데 역시나 맛있어요!!! 이러다 단골될듯ㅋㅋ,1
5,깔끔하고 맛있어요 !! 볶음밥도 원래 닭갈비 양념이랑 맛이 분리되는데 이곳은 그렇지 않아 정말 좋았어요 ㅎㅎ 직원분들도 친절하시네요 !!! 왕추천입니다,1
5,우선 닭갈비 솔직히 맛있음 양념이 자극적이지 않고 중독성 있음 직원들 친절함아래 리뷰들 이해가 안감 가게가 바뀐건지 내가 알수없지만 참고로 난 만족한곳들만 리뷰함,1
5,너무 맛있습니다 !! 한끼 식사로 좋네요 ㅎㅎ,1
2,"블로그에 또 속았네요...ㅜㅜ  맛은평범. 4인분 중 닭고기양은 엄청 조금이고, 직원들중 캐셔보시는 분 완전 불친절.",0
5,완죤맛집~~~,1
1,먹고 하루지난 뒤인 지금도 계속 배아파요ㅠㅠㅠ혹시나하고 들어와봤더니 다른분들도 그러시네요,0
3,이정도면 맛있다고 할수 있는것 같습니다.  가면 또 가겠지만 일부러 먹으러 찾아갈까 싶기도 한 적당한 집. 당면넣어주는게 좋았어요ㅎ,0
5,매번 좋은 사람들 만날때 방문하는데 매번 맛이 좋네요.,1
5,학원끝나고 일주일에 두세번은 가는 듯 ㅎㅋㅋㅋ 장인닭갈비 너무 맛있어요!,1
5,매운 닭갈비에 치즈추가하면 남부러울게 없지,1
5,뉴발란스 건물 뒤편에 바로 보였어요 맛있게 잘 먹고 갑니당,1
5,매장 깔끔하고 항상 사람 많지만 맛있어요 !,1
5,위치가 좋아서 자주 찾아가서 먹어요 닭갈비 맛있어요,1
5,치즈추가해서 먹었는데 완전 맛있어요 ㅠㅠㅠㅠ 직원분들도 친절해서 좋아요,1
1,위생 최악.. 가게 내부 곳곳에 벌레끈끈이 있는데 초파리가 징그럽게 많이 붙어있어요 자리앉자마자 바로 보여서 먹기전부터 계속 생각나고 (대체 왜 손님 테이블 바로 옆에 보이도록 둔 거지? 싶음;;;) 음식위에 올라간 검은깨가 다 초파리처럼 보이고 먹는 내내 초파리가 주위에서 계속 날라다녀요 화장실은 말할것도 없이 너무 더러워요 닭갈비 좋아해서 볶음밥까지 먹고 싶었는데 남기고 그냥 나왔습니다,0
5,말이필요없어요ㅜㅜ 너무 맛있어요ㅜㅜ 일끝나고 힐링하네요,1
5,언제먹어도 닭갈비는 여기만한데가 없는거 같아요! 너무 맛있게 잘먹고 갑니다ㅎ,1
5,닭갈비 치즈 조화 미쳤어요! 너무 맛있어요!,1
1,양이 너무 적어요;; 진짜 너무 심함,0
1,집에서 내가 만든게 더 맛있음,0
1,"1개도 아까운 인생 최악의 닭갈비 남이섬 앞에서 먹은 장사치들의 닭갈비가 지금껏 중에 최악이었ㄴ는데, 여기가 갱신했네요 달고 짜기만한 소스에 사리추가 안하면 그냥 닭에 양배추 몇개. 볶음밥도 그냥 달기만 하고... 닭은 꾸역꾸역 먹었는데 볶음밥은 한 입 먹고 싹다 버리고 나와서 샌드위치 사먹었네요 강남역에 맛있는 곳 없는 것도 알고 기대도 안했는데 역대급이예요 강남에서 제일 맛없는 밥집",0
5,,1
2,소스는 맛있는데 재료가 안좋은건지 조리를 잘못하신건지 닭이 맛이 없네요..,0
1,,0
1,이게 2인분이고 닭 한조각 먹었습니다. 운동 사리도 추가한거에요 ㅋ. 그리고 신기하게도 알바들 전부다 불친절합니다. ㅋㅋ 일하기 싫은건 알겠는데 손님들 기분 잡치게 할 필요는 없잖아요?ㅋㅋ 오늘이 첨이자 마지막일 듯. ㅂ2ㅂ2,0
1,여기서 먹고 배탈났습니다 ㅠㅠ 배가 진짜 많이 안좋네요 ㅠㅠ,0
4,"다른 닭갈비 프렌차이즈보다는 약간 가격이 더 있지만, 비싼 정도는 아니고, 다 조리해서 나와서 깔끔하고 좋았습니다. 전체적으로 깔끔하고 좋네요.",1
1,,0
1,,0
5,비싸지만 맛있음.. 분위기 면에서는 일산점보다는 훨씬 훌륭한데 맛은 일산이 조금 더 좋았음,1
5,,1
5,잘먹었슘다! 맛있어요:),1
1,5인 방문해서 세트 및 주류 왕창 시킴. 뭐 달라고 하면 가서 안옴. 또 눌러서 달라고 해야 2번째에 갖다줌. 맥주도 세 번 부름. 스프라이트 30분 후에 옴. 볶음밥은 와서 재료 던져놓고 한참을 안옴. 벨 눌러서 부르니 그냥 양념넣고 가서 또 한참을 안옴. 탈때까지 기다려보자고 했는데 친구가 벨 안눌렀으면 볼만했을듯. 볶음밥 하나 먹는데 벨을 4번 누르는 가게. 돈은 비싸고 룸은 덥고 서비스는 느리고 돈보다도 시간이 아깝고 오랜만에 만난 사람들에게 미안했던 방문. 그 다음 모임들은 전부 다른 가게로 옮겼습니다.,0
4,친절하세요ㅎㅎ 잘먹었습니다,1
2,,0
3,가격대비 서비스를 받는다는 느낌이 안들고 고기도 그냥저냥 깍두기 볶음밥은 별로입니다..,0
4,된찌밥이 진짜 별미,1
2,이 가격이라면 맛 없을 수는 없겠지만 기대보다는 그닥..ㅠㅠ다른 지점에서는 분명 더 맛있게 먹었는데 구워주시는 분에 따라 차이가 있는 걸까요..,0
1,살다살다 이런 가게는 처음입니다.사고 쳐놓고 직원끼리 작당모의 하고 아무일 없는 척 일하는 분들. 매니저는 가식적으로 다음에 오면 서비스 해드릴게요 하는가게.옛날 창고 생각하고 가시지 않길 바랍니다. 유명 프랜차이즈에 인수된 가게에 불과합니다,0
1,두번 가지는 않을것후기대로 직원들 싸가지 없음벨무시 기본메뉴판 달라니까 불친절하게 저뒤에 있잖아요 내가 이집 주인이냐! 저뒤에 있는줄 알게!!!다신 안간다,0
1,벨 무시당함 지나가는 직원한테 고기꿔달라고 말해야함. 언제먹으라는 말도 없이 그냥 휙 가버림 이 돈주고 이 서비스를 당해야하나,0
2,"불친절, 반찬이 특색없음 특히 깍두기볶음밥 최악 물냉은 그나마 먹을만담부턴 경천애인이나 한와담 가야지",0
4,,1
4,룸에서 모임하기 좋아요.,1
5,너무 조치 룸도 잇고 근데 환기가 안됨 ㅠ그리고 카운터 남자분 일 똑바로 햇으면 ㅠ 싸1가지 진짜 가정교육 된장찌개에 밥말아먹엇나,1
2,"여기올때마다느끼는거지만 카운터 직원, 맨앞에서 자리응대하는직원 참 불친절...말풍선 다보인다. 말하는게 기본이 안된듯",0
5,,1
2,바닥이 너무 미끌거림..파채는 도끼로 써는듯,0
4,친구들과 즐겁게 식사하고 왔어요. 룸도 있어서 룸에서 먹으니 좋네요!,1
5,,1
1,원래 리뷰 아예안쓰는데 처음 씁니다. 오랜만에 왔는데 서비스는 개나 줘버리고 고기올려놓고 까먹은건지 뭔지 오지도 않고 이게 소고기인지 고무씹는건지 모르겠네요. 맛있다고 지인 데려왔는데 다신 안올거같아요 만원짜리 삼겹살집이 더 나았을듯,0
1,아니 고기 몇만원어치를 먹는데 계속 안구워주고 벨을 눌러도 묵묵 부답 진짜 비싼값내고 먹는데 짜증나 죽을뻔함,0
1,,0
3,왠지 모르지만 맛의 기복이 있어요 그리고 나갈 때쯤이면 거의 훈제인간 됨,0
2,후식도있었나요? 못먹음 (디너) 창고43스페셜,0
4,,1
4,고기질 좋고 잘 구워줌.가격은 비싼 편.(1인당 16.7만 지불),1
4,,1
4,맛있고 깔끔하고 친절하셨어요고기 다 구워주시고 최고,1
2,좋은 고기를 맛 없게 구워먹는 곳이란 느낌을 받았습니다. 고기 상태는 좋은데 구워주시는 분에 따라 평가가 다른 것 같네요.,0
1,,0
3,,0
2,팬은 무쇠팬인거 같은데 진짜 고기 못굽네요. 그냥 점심식사하는 거 외에는 비추. 돈아깝습니다,0
3,회식하기에 좋네요,0
2,좋은점: 고기 맛있다. 친절하다.안 좋은 점: 1. 공기가 아주 매캐하다.  (환기 잘X 목 아픔)2. 어둡다. 지하인데 창문 하나 없고 조명 어두움3. 테이블 다닥다닥 붙어 씨끄럽다.4. 비싼만큼 비싸다.결론: 다신 안감. 창고43 삼성점이 훨씬 낫다,0
1,3명이서 30만원이나 먹었는데 자리도 구석탱이 주고 서빙도 엉망이고 분위기도 별루에요. 예약석 자리 텅텅 비었던데 저도 예약했는데 왜 자리를 그렇게 주나요? 기분 별루였어요,0
3,편하게 먹을수 있음. 맛남~,0
4,창고는 언제나 맛있음  식당이 조금 어둡다는 단점빼고는 다 좋음,1
5,"어머니생신_20180224전반적으로 좋았고, 육회도 굿.",1
3,지하라 어두움너무 사람많음직원은 적음엄청 빠르시긴한데 불편함 먼가.,0
1,cashier 응대가 매우 불쾌했음 직원 교육이필요하네요,0
5,맛있음. 약간 비싸지만 손님과 오기 좋음. 룸도 있고.,1
5,,1
4,깔끔하고 맛도 괜찮아요. 가격은 조금만 저렴했으면,1
3,법카가 요긴하게 사용되는 스타일의 식당달랑 지인과 점심 메뉴로 먹은 갈비탕이라 평가가 조심스럽지만 특별하지는 않았다,0
3,보통입니당,0
3,깔끔하고 맛도 괜찮았어요 ^^,0
5,"강남 한우는 여기서. 깍두기 볶음밥도 매력있음. 단, 내 돈주곤 못 먹겠음",1
3,,0
4,,1
4,,1
3,대도식당의 짝퉁버전인가?깍뚜기밥까지 똑같네...,0
5,맛이야 두말하면 잔소리고 서비스 좋다. 자리 조용하고 넓고. 근데 비싸다.,1
5,"갈비탕 14, 갈비도 실하고 맛있는데다 좌석은 편하고 주차가 매우 편하며 심지어 2시간 무료!",1
4,,1
4,,1
4,"창고스페셜, 특안심, 설화등심, 육회.음.. 맛있는데 특별히 우와!하는 맛은 아니다.",1
4,철판에 구워서 찢어주는 고기집!  고급스러운 인테리어! 된장찌게 굿!,1
4,요즘 유행인듯한 불판 스타일! 고기 맛나고 볶음밥도 괜찮음,1
5,가격 비쌈,1
4,,1
3,그가격에 그맛,0
5,,1
5,진짜 맛있어요( ◜⤙◝ )♡,1
5,맛있어요,1
5,제가 구워먹는 고기를 크게 선호하지 않는 편인데 여긴 진짜 맛있어요 ㅋㅋ 데려간 지인들도 다 만족했어요,1
4,,1
4,무엇보다 친절하시고 맛있어요~~ 항정살은 솔드아웃이라 목살 삼겹만 먹었어요 ~~ 고기 두껍고 굿굿,1
4,"가격이 비싸고 양이 작아서 가성비 면에선 별로지만 삼겹살이 진짜 맛있어요. 육즙 콸콸👍🏻 목살은 삼겹살만큼은 아니었고, 된장찌개는 쏘쏘에 물냉은 진짜 별로에요😨 고기 구워주시는 직원 분 정말 유쾌하셨구 비싸지만 삼겹살 먹으러 또 갈거같아요 ㅎㅎ",1
5,된장찌개 냉면 등은 평범한데 고기가 미쳤음 한 남자직원이 너무 불친절해서 기분 나빴는데그걸 다 용서할 수 있을만큼 존맛,1
5,고기 당연히 맛있고 된장밥도 맛있었구 비빔냉면이 진짜 맛있어요!! 직원분들 고기도 잘구워주시고 엄청 친절하고 유쾌하셔서 기분좋게 식사했어요. 얼린 물티슈도 주시는 센스...!! 유일한 아쉬운점은 양이 약간 작은 점 정도입니당,1
5,가격있는만큼 고기 질이 좋다 사장님 고기굽는 스킬도 좋아서 더 좋다,1
5,진짜 여기저기 다녀봤지만 이곳이 좋다..양은 많은 편은 아니지만 그렇다고 적은 편도 아님!삼겹살 먹고싶을땐 무조건 여기 감.. 쵝오,1
5,,1
5,존맛탱. 양 적고 비싸지만 돈 값합니다. 두꺼운 삼겹살 유행이지만 그 중에서도 뛰어난 맛입니다. 직원들도 친절하십니다. 괜히 사람이 많은 게 아님!!! 재방문의사 200%. 오래오래 다니고싶은 집.,1
5,"가격이 좀 비싸지만 통통하고 넘나 맛있어요,,양 적어서 3명이서 6인분은 먹어줘야해요직원분들 친절해요",1
4,,1
4,"목살, 삼겹살 먹었는데 첫 한점은 정말 맛있는데 나중갈수록 퍽퍽해서 아쉬웠어요ㅜㅠ 남자친구가 강추해서 같이 간 곳인데 고기 구워주시는 직원분에 따라서 고기 맛이 달라지는 거 같아요~ 비빔냉면도 맛있었습니다~",1
5,맛잇어요!̤̮,1
4,맛있게 잘 먹었습니다,1
5,,1
4,입에서 살살 녹아요.ㅎㅎ,1
4,고기맛이 끝내줘요~~,1
4,맛있어요,1
4,육전식당 신설동 본점도 자주 갔는데 강남에도 있길래 방문함. 기대가 너무 컸나 다들 맛나게 먹었지만 부족했음… 많이 시끄러워 대화하는데 목이 아팠다. 고기맛은 여전히 굿.,1
3,오늘은 삼겹살이 질겼어요 목살은 겉바속촉이었는데 삼겹살 살코기 질김 무슨 일이죠? 원래 육즙팡팡 부드럽게 녹았잖아요 고기 상태 신경써주세요... 지인에게 자신있게 소개한 곳이었는데 아쉬운 자리였네요ㅠㅠ,0
5,맛있음,1
5,목살도 존맛 삼겹살은 대존맛사진 왜 못찍었을까 나,1
1,,0
5,고기 자체가 맛있네요!!! 소금 갈치젓 다 맛있어요!,1
5,,1
4,맛잇으느 비싸다으,1
5,친절하고 너무 맛있었어요.고기도 진짜 맛잇게 구워주시고..근데 볶음밥은 진짜 별로에요. 비싼데 맛이없어요..고기많이드세요,1
4,,1
5,ㅈㅁㅌㅌㄱㄹ,1
4,,1
5,,1
3,맛은 있지만 가성비는 좋지 않아요,0
4,맛있고 직원 분들이 매우 친절하셨어요,1
4,직원 친절. 고기 맛있음. 가격은 비쌈,1
5,깔끔하고 맛있어요,1
4,"삼겹, 목살, 항정살 세개 먹어본것중 갠적으론 삼겹, 목살이 맛있음.식당에서 먹은 고기중 맛이 손에 꼽힘 그러나 가격도 손에 꼽힘+ 직원분들 친절",1
5,,1
4,,1
5,,1
5,진짜 맛있어요... 깜놀.....ㅠㅠ육즙이 미침.. 직원분들도 친절하시고 감사합니다! 맛있게 먹고가요~,1
